City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
134,krotovka,53.2858,51.1686,15.69,77,100,3.19,RU,1696352597
135,pacific grove,36.6177,-121.9166,18.58,86,20,3.13,US,1696352315
136,ciudad de armeria,18.9333,-103.9667,31.99,64,100,1.64,MX,1696352598
137,keflavik,64.0049,-22.5624,8.24,66,20,3.09,IS,1696352598
138,la'ie,21.6477,-157.9253,24.14,84,0,0.45,US,1696352599
139,bagnan,22.9242,88.14,26.94,96,79,3.44,IN,1696352599
140,guadalupe,25.6833,-100.25,30.22,56,35,2.72,MX,1696352340
141,n'zeto,-7.2312,12.8666,25.06,82,39,3.33,AO,1696352600
142,mount pearl,47.5166,-52.7813,16.85,73,75,5.14,CA,1696352601
143,kudahuvadhoo,2.6708,72.8944,28.31,74,100,5.58,MV,1696352601
144,dunedin,-45.8742,170.5036,8.22,74,64,1.34,NZ,1696352459
145,nouna,12.7333,-3.8667,38.03,21,85,6.21,BF,1696352603
146,muravlenko,63.7898,74.523,2.04,68,22,1.37,RU,1696352603
147,banyo,6.75,11.8167,20.64,92,88,0.56,CM,1696352604
148,viedma,-40.8135,-62.9967,14.44,45,100,5.15,AR,1696352442
149,al khums,32.6486,14.2619,24.2,64,10,4.97,LY,1696352605
150,lorengau,-2.0226,147.2712,25.56,90,100,3.15,PG,1696352605
151,ghat,24.9647,10.1728,30.2,27,61,6.3,LY,1696352553
152,hassi messaoud,31.6804,6.0729,30.92,25,0,3.09,DZ,1696352606
153,kone,-21.0595,164.8658,20.58,80,53,2.66,NC,1696352606
154,guanica,17.9716,-66.908,33.63,78,98,3.09,PR,1696352607
155,ribeira grande,38.5167,-28.7,23.22,68,20,7.72,PT,1696352608
156,huangpi,30.8845,114.3779,20.06,88,100,1.0,CN,1696352609
157,lautoka,-17.6167,177.4667,22.92,64,75,4.12,FJ,1696352609
158,port alfred,-33.5906,26.891,17.32,89,4,0.89,ZA,1696352610
159,broken hill,-31.95,141.4333,10.96,74,67,9.02,AU,1696352610
160,farasan,16.7022,42.1183,32.0,66,0,3.86,SA,1696352611
161,guerrero negro,27.9769,-114.0611,21.46,63,7,3.77,MX,1696352611
162,newman,37.3138,-121.0208,21.7,55,76,0.89,US,1696352612
163,sinabang,2.4803,96.3801,26.23,79,99,3.17,ID,1696352613
164,halifax,44.6453,-63.5724,24.63,46,75,6.69,CA,1696352246
165,tarnogskiy gorodok,60.4997,43.5761,9.72,70,100,5.44,RU,1696352614
166,cabo san lucas,22.8909,-109.9124,33.12,65,43,5.81,MX,1696352198
167,port lincoln,-34.7333,135.8667,10.67,64,85,7.08,AU,1696352615
168,laela,-8.5667,32.05,23.52,28,39,2.07,TZ,1696352615
169,canutama,-6.5339,-64.3831,41.73,18,63,1.85,BR,1696352616
170,enewetak,11.3474,162.3373,29.24,77,93,7.08,MH,1696352616
171,ilha de mocambique,-15.0342,40.7358,25.13,68,19,9.98,MZ,1696352617
172,uturoa,-16.7333,-151.4333,25.91,79,10,8.37,PF,1696352618
173,saipan,15.1355,145.701,28.79,76,69,7.16,MP,1696352618
174,suntar,62.1444,117.6319,-2.71,81,43,2.24,RU,1696352619
175,kapuskasing,49.4169,-82.4331,25.05,57,75,5.66,CA,1696352403
176,san sebastian de la gomera,28.0916,-17.1133,35.2,31,0,1.03,ES,1696352620
177,al kharijah,25.4514,30.5464,29.4,27,55,6.45,EG,1696352620
178,nelson bay,-32.7167,152.15,20.03,84,63,5.36,AU,1696352620
179,shitanjing,39.2342,106.3439,15.36,24,98,1.49,CN,1696352621
180,ust-nera,64.5667,143.2,-1.55,74,93,1.34,RU,1696352621
181,banlung,13.7468,107.0045,22.81,99,100,0.73,KH,1696352622
182,cole harbour,44.6724,-63.4751,24.54,46,75,6.69,CA,1696352622
183,champerico,14.3,-91.9167,33.3,69,91,3.85,GT,1696352622
184,al mutayrifi,25.4788,49.5576,36.19,32,0,2.42,SA,1696352623
185,gadzhiyevo,69.2551,33.3362,3.13,88,100,2.61,RU,1696352624
186,vernon,50.2581,-119.2691,14.05,92,66,0.45,CA,1696352624
187,khandyga,62.6667,135.6,5.58,90,100,0.94,RU,1696352625
188,porto novo,6.4965,2.6036,29.9,74,100,4.2,BJ,1696352625
189,lompoc,34.6391,-120.4579,25.47,76,0,2.57,US,1696352626
190,saint-joseph,-21.3667,55.6167,22.21,86,50,6.0,RE,1696352626
191,santa barbara,34.7333,-120.0343,22.41,30,79,1.07,US,1696352584
192,udachny,66.4167,112.4,-3.64,85,13,5.42,RU,1696352627
193,polyarnyy,69.1989,33.4478,3.45,89,100,2.56,RU,1696352627
194,laguna,38.421,-121.4238,23.38,54,0,2.06,US,1696352628
195,hermanus,-34.4187,19.2345,17.06,79,81,6.36,ZA,1696352628
196,saldanha,-33.0117,17.9442,20.03,88,100,7.58,ZA,1696352629
197,matoury,4.8483,-52.3317,33.98,52,20,6.17,GF,1696352629
198,namibe,-15.1961,12.1522,21.01,87,16,3.05,AO,1696352629
199,point pedro,9.8167,80.2333,27.17,84,50,9.79,LK,1696352630
200,namtsy,62.7161,129.6658,2.25,91,100,2.56,RU,1696352630
201,mariental,-24.6333,17.9667,31.44,19,51,7.63,NA,1696352631
202,mirny,62.5353,113.9611,-4.87,79,15,3.13,RU,1696352631
203,dawson creek,55.7666,-120.2362,11.8,47,0,5.66,CA,1696352631
204,newnham,-41.3833,147.1333,9.53,87,75,2.06,AU,1696352632
205,umluj,25.0213,37.2685,28.99,72,1,5.57,SA,1696352632
206,walvis bay,-22.9575,14.5053,18.23,63,21,8.07,NA,1696352633
207,hohr-grenzhausen,50.4333,7.6667,15.09,80,83,15.65,DE,1696352633
208,avarua,-21.2078,-159.775,22.03,68,100,4.63,CK,1696352633
209,diego de almagro,-26.3667,-70.05,22.25,25,22,4.41,CL,1696352634
210,alofi,-19.0595,-169.9187,21.94,94,100,6.69,NU,1696352634
211,kodiak,57.79,-152.4072,4.1,58,0,2.94,US,1696352635
212,sengiley,53.9622,48.7944,12.46,81,36,1.86,RU,1696352636
213,flying fish cove,-10.4217,105.6791,23.82,83,100,6.17,CX,1696352636
214,yichang,30.7144,111.2847,19.6,85,100,0.5,CN,1696352636
215,bardsir,29.9227,56.5743,21.37,23,2,0.93,IR,1696352637
216,molochnoye,59.2917,39.6787,11.01,71,100,7.15,RU,1696352637
217,acarau,-2.8856,-40.12,31.28,57,90,9.09,BR,1696352638
218,idri,27.5,13.2667,28.16,28,8,4.03,LY,1696352638
219,portland,45.5234,-122.6762,16.4,95,100,3.09,US,1696352200
220,bosobolo,4.1833,19.9,22.34,95,98,0.96,CD,1696352639
221,vorgashor,67.5833,63.95,0.86,87,63,4.56,RU,1696352640
222,aripuana,-9.1667,-60.6333,38.99,26,62,0.96,BR,1696352521
223,kuqa,41.7278,82.9364,19.98,24,100,3.0,CN,1696352641
224,kapa'a,22.0752,-159.319,22.99,81,1,0.93,US,1696352641
225,ilulissat,69.2167,-51.1,0.01,40,20,4.63,GL,1696352641
226,romanovo,52.6182,81.2271,5.98,53,5,2.76,RU,1696352642
227,ribeira brava,32.65,-17.0667,29.28,79,65,3.43,PT,1696352642
228,hastings,50.8552,0.5729,17.73,26,22,8.22,GB,1696352643
229,hasaki,35.7333,140.8333,20.22,58,96,4.87,JP,1696352643
230,rosarito,32.3333,-117.0333,23.15,60,2,2.3,MX,1696352644
231,praia da vitoria,38.7333,-27.0667,23.2,78,75,5.77,PT,1696352644
232,saint-francois,46.4154,3.9054,20.69,60,0,3.09,FR,1696352645
233,eyl,7.9803,49.8164,27.02,78,53,7.53,SO,1696352554
234,knysna,-34.0363,23.0471,16.48,94,42,1.58,ZA,1696352646
235,nizhnyaya salda,58.0776,60.7202,10.87,93,100,2.02,RU,1696352646
236,iskateley,67.6803,53.1512,3.9,78,100,9.39,RU,1696352647
237,afaahiti,-17.75,-149.2833,23.93,82,79,7.07,PF,1696352647
238,thompson,55.7435,-97.8558,8.09,100,100,0.0,CA,1696352647
239,puerto deseado,-47.7503,-65.8938,12.1,48,99,0.15,AR,1696352648
240,puyang,29.4603,119.8861,21.37,89,93,1.68,CN,1696352648
241,amos,48.5669,-78.1162,24.54,53,26,3.57,CA,1696352581
242,reynosa,26.0833,-98.2833,35.39,57,40,2.14,MX,1696352441
243,basco,20.4487,121.9702,28.19,81,100,11.41,PH,1696352650
244,pajapan,18.25,-94.7,27.09,72,87,1.94,MX,1696352650
245,sur,22.5667,59.5289,29.27,61,4,0.27,OM,1696352650
246,elista,46.3078,44.2558,16.29,47,81,3.13,RU,1696352651
247,mogadishu,2.0371,45.3438,26.42,87,97,6.54,SO,1696352510
248,sai buri,6.7013,101.6168,25.92,85,98,2.51,TH,1696352652
249,vilyuchinsk,52.9306,158.4028,8.85,100,100,2.24,RU,1696352652
250,dolinsk,47.35,142.8,8.73,92,16,2.27,RU,1696352652
251,hirara,24.8,125.2833,27.92,94,75,7.2,JP,1696352653
252,gorontalo,0.5412,123.0595,23.68,91,72,0.81,ID,1696352653
253,ancud,-41.8697,-73.8203,10.48,60,9,2.7,CL,1696352654
254,borogontsy,62.6683,131.1683,1.27,92,100,3.13,RU,1696352654
255,xuchang,34.0167,113.8167,19.23,77,95,1.43,CN,1696352655
256,katsuren-haebaru,26.3369,127.8719,29.43,89,75,3.09,JP,1696352656
257,oliva de la frontera,38.276,-6.9187,32.07,21,4,3.06,ES,1696352656
258,altai,46.3722,96.2583,1.93,39,4,1.56,MN,1696352657
259,al muwayh,22.4333,41.7583,29.46,11,0,2.9,SA,1696352657
260,sitka,57.0531,-135.33,10.94,87,100,3.6,US,1696352658
261,zapolyarnyy,69.4154,30.8136,1.6,94,100,0.52,RU,1696352658
262,sabang,5.8933,95.3214,28.17,78,100,8.25,ID,1696352659
263,badger,64.8,-147.5333,-1.68,91,100,2.57,US,1696352659
264,freeport,40.6576,-73.5832,27.95,62,0,1.79,US,1696352459
265,luderitz,-26.6481,15.1594,20.08,57,2,5.88,NA,1696352660
266,karratha,-20.7377,116.8463,25.38,40,67,3.47,AU,1696352661
267,aras-asan,8.8908,126.3033,25.78,88,59,1.58,PH,1696352661
268,fang,19.9169,99.2145,22.58,98,8,0.63,TH,1696352662
269,huarmey,-10.0681,-78.1522,22.04,76,57,5.41,PE,1696352662
270,coquimbo,-29.9533,-71.3436,17.85,59,20,4.63,CL,1696352663
271,haiku-pauwela,20.9219,-156.3051,23.91,78,0,0.0,US,1696352663
272,jiangkou,25.4872,119.1986,24.83,81,60,5.02,CN,1696352664
273,sakakah,29.9697,40.2064,30.76,22,100,4.24,SA,1696352665
274,ugoofaaru,5.6667,73.0,27.14,81,100,6.31,MV,1696352665
275,dambatta,12.433,8.5154,29.06,40,91,1.43,NG,1696352666
276,bettiah,26.8,84.5,23.88,97,100,3.64,IN,1696352666
277,tofol,5.3248,163.0078,28.2,74,60,0.9,FM,1696352667
278,voi,-3.3945,38.563,24.43,67,93,5.97,KE,1696352668
279,merizo village,13.2658,144.6691,27.85,89,96,5.81,GU,1696352668
280,kidal,18.4411,1.4078,37.96,14,36,5.15,ML,1696352454
281,quang ngai,15.1167,108.8,25.44,92,100,2.34,VN,1696352669
282,sao vicente,-23.9631,-46.3919,33.1,56,100,3.09,BR,1696352669
283,luorong,24.4058,109.6086,28.24,71,63,0.12,CN,1696352670
284,new norfolk,-42.7826,147.0587,9.95,89,99,1.06,AU,1696352670
285,katsuura,35.1333,140.3,22.94,63,97,5.67,JP,1696352671
286,fada,9.5667,8.3,21.06,95,100,0.67,NG,1696352671
287,bathsheba,13.2167,-59.5167,32.34,74,20,5.66,BB,1696352672
288,shambu,9.5667,37.1,11.49,84,43,1.19,ET,1696352673
289,sept-iles,50.2001,-66.3821,15.59,58,40,7.2,CA,1696352421
290,boa vista,2.8197,-60.6733,34.99,41,40,3.6,BR,1696352674
291,ouani,-12.1322,44.4258,26.27,80,41,3.69,KM,1696352674
292,dudinka,69.4058,86.1778,0.9,86,88,8.49,RU,1696352674
293,kadugli,11.0167,29.7167,24.45,81,64,3.44,SD,1696352675
294,as sulayyil,20.4607,45.5779,33.14,12,0,3.28,SA,1696352675
295,sao joao da barra,-21.6403,-41.0511,25.05,89,100,4.38,BR,1696352676
296,reggane,26.7158,0.1714,36.29,15,4,6.41,DZ,1696352676
297,holualoa,19.6228,-155.9522,25.48,77,40,2.68,US,1696352677
298,xinyang,32.1228,114.0656,18.66,89,94,1.69,CN,1696352677
299,sisimiut,66.9395,-53.6735,2.2,67,14,1.69,GL,1696352678
300,xilin hot,43.9667,116.0333,4.68,37,20,1.45,CN,1696352678
301,mangrol,21.1167,70.1167,26.51,69,56,3.62,IN,1696352679
302,turpan,42.9333,89.1667,23.56,24,77,0.18,CN,1696352679
303,colchani,-20.3,-66.9333,15.64,15,7,6.74,BO,1696352680
304,ngetkib,7.3645,134.5148,27.14,89,100,0.0,PW,1696352681
305,offenbach,50.1,8.7667,17.47,84,0,5.14,DE,1696352681
306,georgetown,5.4112,100.3354,27.96,92,20,1.54,MY,1696352422
307,antonio enes,-16.2325,39.9086,24.5,61,24,5.69,MZ,1696352682
308,dellys,36.9172,3.9131,23.95,75,11,0.15,DZ,1696352682
309,remire-montjoly,4.9167,-52.2667,33.02,55,20,7.2,GF,1696352683
310,colonia,50.9333,6.95,16.09,74,75,7.2,DE,1696352681
311,nema,57.5067,50.5011,8.92,80,46,2.0,RU,1696352684
312,chernyshevskiy,63.0128,112.4714,-3.76,91,42,2.36,RU,1696352684
313,hadibu,12.65,54.0333,27.26,78,7,1.26,YE,1696352545
314,galeras,9.161,-75.0481,28.58,80,93,3.15,CO,1696352685
315,yemetsk,63.4721,41.7941,7.4,92,100,5.56,RU,1696352685
316,bomdila,27.25,92.4,14.74,94,74,1.64,IN,1696352686
317,fort bragg,35.139,-79.006,27.58,54,0,4.12,US,1696352686
318,lasem,-6.6922,111.4527,26.8,73,90,2.24,ID,1696352687
319,heiligenhafen,54.3667,10.9833,13.92,78,100,10.7,DE,1696352687
320,santo antonio do ica,-3.1022,-67.9397,39.4,27,47,1.84,BR,1696352688
321,yigo village,13.5361,144.8886,27.16,82,40,7.2,GU,1696352689
322,marka,1.7159,44.7717,26.09,87,82,5.65,SO,1696352689
323,naracoorte,-36.9579,140.7383,5.12,94,60,2.33,AU,1696352690
324,puerto aysen,-45.4,-72.7,8.46,94,100,1.05,CL,1696352690
325,karbala,32.616,44.0249,30.15,31,100,3.3,IQ,1696352691
326,emerald,-23.5333,148.1667,18.52,81,2,5.02,AU,1696352691
327,naze,28.3667,129.4833,25.51,86,72,3.63,JP,1696352692
328,archangelos,36.2149,28.1149,25.17,61,6,1.76,GR,1696352693
329,mount isa,-20.7333,139.5,23.87,69,77,4.12,AU,1696352481
330,wiesenburg,52.1167,12.45,16.47,91,100,5.59,DE,1696352693
331,mogocha,53.7333,119.7667,-1.25,75,83,2.68,RU,1696352694
332,bokhan,53.153,103.7714,4.31,91,97,1.9,RU,1696352694
333,mar del plata,-38.0023,-57.5575,16.4,89,100,2.57,AR,1696352404
334,touros,-5.1989,-35.4608,28.67,58,48,7.27,BR,1696352695
335,west fargo,46.875,-96.9004,26.0,55,75,8.75,US,1696352695
336,alvorada,-12.48,-49.1247,41.72,15,24,1.64,BR,1696352696
337,rouissat,31.9243,5.3502,31.04,22,0,6.69,DZ,1696352696
338,alice springs,-23.7,133.8833,18.75,32,0,5.66,AU,1696352697
339,charters towers,-20.1,146.2667,17.65,97,11,3.68,AU,1696352697
340,ust'-kulom,61.6864,53.6902,6.77,93,99,1.01,RU,1696352697
341,okha,53.5739,142.9478,6.43,87,97,4.1,RU,1696352698
342,khabarovsk,48.4808,135.0928,8.59,94,0,5.81,RU,1696352456
343,enshi,30.3,109.4833,19.34,98,100,0.35,CN,1696352699
344,caninde,-4.3589,-39.3117,36.47,28,55,3.15,BR,1696352699
345,cruzeiro do sul,-29.5128,-51.9853,26.38,64,41,0.92,BR,1696352700
346,horta,38.5333,-28.6333,22.8,80,20,7.72,PT,1696352700
347,rio grande,-32.035,-52.0986,23.06,76,72,7.43,BR,1696352700
348,luganville,-15.5333,167.1667,24.64,85,99,7.23,VU,1696352701
349,utrik,11.2278,169.8474,28.72,76,41,7.71,MH,1696352701
350,oranjemund,-28.55,16.4333,16.3,75,0,4.31,NA,1696352702
351,shalqar,47.8333,59.6,15.72,45,23,3.75,KZ,1696352702
352,san miguel,13.4833,-88.1833,32.57,60,98,0.79,SV,1696352444
353,usinsk,65.9939,57.5281,3.37,79,100,4.02,RU,1696352703
354,island harbour,50.724,-1.2758,17.21,68,37,0.89,GB,1696352704
355,sutherlin,43.3901,-123.3126,16.0,58,100,3.09,US,1696352704
356,east end,34.5507,-92.341,31.19,43,60,0.45,US,1696352705
357,yekaterinoslavka,50.3734,129.1139,7.94,81,99,3.15,RU,1696352705
358,jwaneng,-24.6004,24.7303,24.04,21,3,4.87,BW,1696352706
359,severo-yeniseyskiy,60.3725,93.0408,3.65,97,100,4.92,RU,1696352706
360,manhuacu,-20.2581,-42.0336,28.29,62,100,1.72,BR,1696352707
361,chibougamau,49.9168,-74.3659,12.79,88,100,1.54,CA,1696352554
362,namsos,64.4662,11.4957,9.03,87,0,0.0,NO,1696352708
363,safranbolu,41.2508,32.6942,12.85,76,53,0.83,TR,1696352708
364,suileng,47.25,127.0833,10.29,95,99,4.32,CN,1696352708
365,korla,41.7597,86.1469,18.82,30,34,1.36,CN,1696352709
366,belmonte,-15.8631,-38.8828,27.67,67,88,6.25,BR,1696352709
